Individual,Class,Amount,Unit
BaconCalcium,SubstancePortion,10,mg/100g
BaconCarbohydrate,SubstancePortion,1430,mg/100g
BaconCholesterol,SubstancePortion,110,mg/100g
BaconFat,SubstancePortion,42000,mg/100g
BaconFoodEnergy,SubstancePortion,541,cal/100g
BaconIron,SubstancePortion,0.82,mg/100g
BaconPotassium,SubstancePortion,565,mg/100g
BaconProtein,SubstancePortion,37000,mg/100g
BaconSodium,SubstancePortion,1717,mg/100g
BaconVitaminA,SubstancePortion,0.0039,mg/100g
DeliHamCalcium,SubstancePortion,6,mg/100g
DeliHamCarbohydrate,SubstancePortion,2280,mg/100g
DeliHamCholesterol,SubstancePortion,30,mg/100g
DeliHamFat,SubstancePortion,8390,mg/100g
DeliHamFoodEnergy,SubstancePortion,162,cal/100g
DeliHamIron,SubstancePortion,0.8,mg/100g
DeliHamPotassium,SubstancePortion,250,mg/100g
DeliHamProtein,SubstancePortion,18260,mg/100g
DeliHamSodium,SubstancePortion,1200,mg/100g
DicedChickenCalcium,SubstancePortion,12,mg/100g
DicedChickenCholesterol,SubstancePortion,48,mg/100g
DicedChickenFat,SubstancePortion,1100,mg/100g
DicedChickenFoodEnergy,SubstancePortion,110,cal/100g
DicedChickenIron,SubstancePortion,0.9,mg/100g
DicedChickenPotassium,SubstancePortion,256,mg/100g
DicedChickenProtein,SubstancePortion,22000,mg/100g
DicedChickenSodium,SubstancePortion,560,mg/100g
CookedChickenCalcium,SubstancePortion,6,mg/100g
CookedChickenCholesterol,SubstancePortion,116,mg/100g
CookedChickenFat,SubstancePortion,3200,mg/100g
CookedChickenFoodEnergy,SubstancePortion,157,cal/100g
CookedChickenIron,SubstancePortion,0.5,mg/100g
CookedChickenPotassium,SubstancePortion,343,mg/100g
CookedChickenProtein,SubstancePortion,32100,mg/100g
CookedChickenSodium,SubstancePortion,47,mg/100g
DeliTurkeyCalcium,SubstancePortion,10,mg/100g
DeliTurkeyCarbohydrate,SubstancePortion,4210,mg/100g
DeliTurkeyCholesterol,SubstancePortion,30,mg/100g
DeliTurkeyFat,SubstancePortion,1660,mg/100g
DeliTurkeyFoodEnergy,SubstancePortion,104,cal/100g
DeliTurkeyIron,SubstancePortion,0.7,mg/100g
DeliTurkeyPotassium,SubstancePortion,250,mg/100g
DeliTurkeyProtein,SubstancePortion,17070,mg/100g
DeliTurkeySodium,SubstancePortion,1000,mg/100g
CookedTurkeyCalcium,SubstancePortion,11,mg/100g
CookedTurkeyCholesterol,SubstancePortion,109,mg/100g
CookedTurkeyFat,SubstancePortion,4970,mg/100g
CookedTurkeyFoodEnergy,SubstancePortion,170,cal/100g
CookedTurkeyIron,SubstancePortion,1.1,mg/100g
CookedTurkeyPotassium,SubstancePortion,239,mg/100g
CookedTurkeyProtein,SubstancePortion,29320,mg/100g
CookedTurkeySodium,SubstancePortion,90,mg/100g
TunaCalcium,SubstancePortion,4,mg/100g
TunaCholesterol,SubstancePortion,45,mg/100g
TunaFat,SubstancePortion,600,mg/100g
TunaFoodEnergy,SubstancePortion,130,cal/100g
TunaIron,SubstancePortion,1.0,mg/100g
TunaPotassium,SubstancePortion,252,mg/100g
TunaProtein,SubstancePortion,29000,mg/100g
TunaSodium,SubstancePortion,50,mg/100g
CrabCalcium,SubstancePortion,91,mg/100g
CrabCholesterol,SubstancePortion,55,mg/100g
CrabFat,SubstancePortion,700,mg/100g
CrabFoodEnergy,SubstancePortion,83,cal/100g
CrabIron,SubstancePortion,0.8,mg/100g
CrabPotassium,SubstancePortion,259,mg/100g
CrabProtein,SubstancePortion,18000,mg/100g
CrabSodium,SubstancePortion,911,mg/100g
HardCookedEggsCalcium,SubstancePortion,50,mg/100g
HardCookedEggsCarbohydrate,SubstancePortion,1120,mg/100g
HardCookedEggsCholesterol,SubstancePortion,186,mg/100g
HardCookedEggsFat,SubstancePortion,10610,mg/100g
HardCookedEggsFoodEnergy,SubstancePortion,155,cal/100g
HardCookedEggsIron,SubstancePortion,1.2,mg/100g
HardCookedEggsPotassium,SubstancePortion,126,mg/100g
HardCookedEggsProtein,SubstancePortion,12580,mg/100g
HardCookedEggsSodium,SubstancePortion,124,mg/100g
HardCookedEggsVitaminA,SubstancePortion,0.64,mg/100g
HardBoiledEggsCalcium,SubstancePortion,50,mg/100g
HardBoiledEggsCarbohydrate,SubstancePortion,1120,mg/100g
